Iteration,Particle1,Particle2,Particle3,Particle4,Particle5,Particle6,Particle7,Particle8,MeanFitness
274,6.52978e-007,78.9321,0.000943799,2.21967e-009,0.0157503,0.000287844,4.16937e-006,1.42233e-006,9.86864
275,2.54679e-007,83.8805,0.0604216,6.2583e-011,0.00310905,0.0208523,1.67363e-006,5.20019e-006,10.4956
276,2.31374e-006,433.849,0.0287373,1.23039e-009,4.2411e-006,0.0024418,1.67763e-006,3.17499e-006,54.235
277,3.06987e-008,5.98104,0.00614008,4.26146e-010,0.00253907,0.04415,5.21788e-008,6.77989e-006,0.754235
278,8.24281e-009,244.254,0.0656284,1.66801e-009,0.00010034,0.0178863,8.0615e-007,5.89976e-006,30.5422
279,4.08253e-007,12.6878,0.00940769,5.08269e-011,0.00338911,0.0332806,2.48233e-006,1.61003e-006,1.59174
280,7.64547e-007,121.652,0.00487754,3.35029e-010,0.00545624,0.0202136,1.79584e-006,8.58721e-008,15.2103
281,2.62519e-007,0.0255416,0.0167653,5.34045e-011,0.00304847,0.000481237,9.28421e-007,4.33523e-006,0.00573026
282,1.91274e-006,71.0908,0.0101155,2.80326e-010,5.59307e-005,0.00229237,8.42637e-007,2.88938e-006,8.88791
283,3.9015e-007,2.42951,0.00816174,9.65186e-011,0.00606078,0.00331625,5.77676e-007,2.29447e-006,0.305882
284,3.84527e-007,24.7646,0.0161886,5.15986e-010,1.67738e-005,0.000942343,1.57203e-007,3.14366e-006,3.09771
285,6.59861e-007,3.57867,0.00167085,1.27632e-011,0.00223767,0.00227183,7.63265e-009,1.09229e-005,0.448107
286,8.55521e-007,3.78977,0.00294785,2.92959e-010,0.000570049,0.00371365,1.58715e-007,1.74464e-008,0.474625
287,2.22039e-006,0.809635,3.8883e-005,4.50779e-010,0.00104366,0.00224341,1.03739e-006,1.19157e-005,0.101622
288,2.04465e-007,0.166108,2.35058e-005,2.3011e-010,0.00121764,0.00159501,1.08548e-006,1.37313e-005,0.02112
289,1.18927e-006,0.986204,3.80506e-005,4.06704e-010,0.00161381,0.00366801,3.17968e-008,2.40279e-007,0.123941
290,2.83383e-006,0.0170097,0.0158533,6.10614e-010,0.00419518,1.00022e-005,9.25301e-007,2.36835e-005,0.00463695
291,1.31864e-006,0.464779,0.00206463,6.23143e-010,0.000479263,0.00349732,6.52187e-008,1.69185e-005,0.0588548
292,1.40526e-008,0.975161,0.00173051,6.84171e-010,0.00301481,0.0045062,5.53074e-007,2.18441e-005,0.123054
293,1.20787e-006,1.11439,0.00312634,2.97433e-011,0.00566212,9.80608e-005,1.95083e-007,7.57642e-005,0.140419
294,4.9231e-007,1.66257,3.52337e-005,6.12074e-010,0.000534755,0.00266934,8.07707e-009,3.12926e-005,0.208231
295,1.74445e-006,2.94201,0.000566016,9.97707e-011,0.00234485,0.000702236,1.49178e-007,7.14623e-005,0.368212
296,7.39067e-007,2.56036,5.81807e-006,1.96453e-010,0.000199789,0.00170637,1.49994e-007,5.69753e-006,0.320285
297,1.4034e-008,0.0328326,0.000913841,3.68956e-011,0.00207057,9.93517e-005,7.60236e-009,6.22285e-006,0.00449033
298,1.15122e-007,0.935601,0.000254151,2.27474e-010,0.00491051,0.00101202,1.71432e-007,1.69543e-007,0.117722
299,9.94957e-007,0.433357,0.00200693,1.75599e-011,2.27641e-005,0.0001088,1.45877e-008,6.87278e-006,0.054438
300,4.22993e-007,0.860611,4.48017e-006,1.13158e-010,0.00202248,4.20806e-005,2.42148e-007,6.26002e-006,0.107836
