Iteration,Particle1,Particle2,Particle3,Particle4,Particle5,Particle6,Particle7,Particle8,MeanFitness
73,107.732,160.459,125.862,144.867,3924.08,92.1827,0.248483,67.4593,577.861
74,53.141,6.29539,36.9087,23.854,6476.1,67.1226,1.91673,0.0601923,833.174
75,4.3176,24.8165,2.40328,92.3698,1583.68,71.4759,0.0151943,10.5384,223.702
76,39.8368,1.45574,14.7565,14.386,9142.26,108.466,0.690944,7.73901,1166.2
77,2.49106,219.879,31.0058,11.3754,831.255,2.45358,2.47021,21.4893,140.302
78,26.3347,577.109,11.3803,36.9224,30695.8,8.71101,0.370986,26.9712,3922.95
79,0.00286017,187.503,32.2226,17.2686,16269.7,6.79298,0.573028,2.23891,2064.54
80,12.7148,235.652,0.0302839,43.5055,7417.82,48.8688,0.503954,0.516286,969.951
81,3.01956,124.875,13.3566,21.0726,855.318,130.581,0.0362274,7.72922,144.498
82,8.81914,43.2797,8.61699,3.74966,456.823,900.419,0.595366,2.47947,178.098
83,8.96197,149.426,4.71185,7.1872,1826.24,150.926,0.256995,18.3299,270.755
84,2.30756,4.23281,0.401229,9.0818,993.509,453.052,0.0626015,0.160062,182.851
85,1.2351,1134.57,0.587771,0.00964655,28.325,43.792,0.107692,26.3548,154.373
86,0.0736672,1.53321,2.0632,1.59349,4.28176,134.044,0.559089,10.789,19.3671
87,0.537024,1.82806,0.765058,0.0875182,92.4744,116.001,0.37909,0.682013,26.5943
88,0.00667218,1.44978,1.4025,0.00507582,197.039,83.5148,2.43734,31.2829,39.6423
89,0.548954,0.513423,0.00566911,0.199437,43.0052,302.936,0.483205,7.38728,44.3848
90,0.0921582,84.5185,0.454757,0.0672945,202.595,746.46,0.277406,27.3398,132.726
91,0.178158,267.875,0.246766,0.0199599,132.79,1524.27,1.31014,5.0239,241.464
92,0.0749546,76.137,0.477735,0.0753159,123.258,603.027,2.27852,0.552047,100.735
93,0.361362,275.641,0.358195,0.123452,26.8194,181.213,0.142233,0.203208,60.6078
94,0.0391055,102.581,0.30181,0.297853,13.6949,228.708,2.09969,6.79641,44.3149
95,0.206735,745.93,0.00655288,0.229834,1393.53,13.5012,0.20679,1.59309,269.401
96,0.029589,7.57911,0.122053,0.096493,234.346,98.9562,1.24519,0.584576,42.8699
97,0.0149839,401.953,0.00703592,0.195106,62.29,94.7152,2.44585,0.0818688,70.2129
98,0.0131151,126.654,0.0909745,0.0634788,3.52501,9.34479,0.0267526,4.99377,18.089
99,0.0026972,392.531,0.122635,0.061644,285.593,184.483,1.12173,0.0911232,108.001
100,0.00655298,9.58476,0.161013,0.00445854,118.94,17.779,1.86535,3.6007,18.9928
101,0.0098647,623.604,0.178505,0.0252164,117.49,93.5084,0.771307,5.49875,105.136
102,0.004242,176.7,0.166801,0.00384448,939.476,26.616,3.53055,0.0009139,143.312
103,0.00631156,366.338,0.00180578,0.138619,137.041,27.6081,1.01676,1.78476,66.7419
104,0.122554,89.6639,0.0922078,0.0572464,403.976,53.018,2.58683,0.0618794,68.6973
105,0.00198836,302.523,0.00563057,0.457928,2359.99,0.661506,9.85574,0.491942,334.248
106,0.00189641,24.3209,0.106975,0.03258,399.045,8.9153,7.70126,1.40368,55.1909
107,0.13012,531.635,0.12756,1.57045,108.987,5.37136,18.894,1.11448,83.4787
108,0.272002,82.4638,0.13518,0.00179227,449.956,24.4529,1.13188,0.680368,69.8868
109,0.317174,342.104,0.00514107,0.828411,9.60423,1.34167,5.72877,0.0237797,44.9942
110,0.582412,41.1331,0.168255,1.88405e-005,26.4291,23.3267,0.276788,0.477002,11.5492
111,0.00148267,32.8317,0.0431294,0.392468,128.107,23.5036,1.3611,0.451308,23.3364
112,0.337731,48.721,0.478269,0.347453,196.712,2.79819,0.293742,0.102046,31.2238
113,0.0555379,301.58,0.882153,0.543214,518.952,58.1502,1.46032,1.52808,110.394
114,0.0164805,283.162,0.890843,0.799912,282.603,44.5993,0.0834221,0.816001,76.6214
115,0.0809585,123.929,0.237672,1.06027,11.5027,201.19,6.83472,0.00735181,43.1053
116,0.00382918,36.7393,0.633698,1.80278,0.112824,197.661,3.27317,0.417863,30.0805
117,0.162152,328.122,0.805288,1.44295,18.5807,143.378,0.359878,0.144848,61.6244
118,0.0284536,40.3479,1.47862,0.00142722,0.896994,376.983,6.02283,0.0851457,53.2306
119,0.101243,8.52525,0.15402,0.880151,38.4236,255.687,0.205703,1.12735,38.138
120,0.023963,22.3183,1.32073,0.849752,73.651,569.688,19.3732,0.967182,86.024
121,0.261579,52.0637,0.0353578,2.13962,0.0560836,27.5172,3.09155,0.0129671,10.6473
122,0.442616,24.5621,0.66899,1.73438,112.754,129.923,0.787087,0.0431427,33.8645
123,0.826274,51.7765,0.00190898,0.710324,15.5166,20.9344,0.0217227,1.25089,11.3798
124,1.70933,61.9558,0.213387,3.28407,25.7419,0.149863,3.95692,0.0669012,12.1348
125,0.0163993,670.021,0.00893062,1.25015,3.48907,3.92685,19.5095,0.0613595,87.2855
126,0.519176,198.378,0.0431983,0.0415073,64.9047,7.85659,19.2294,0.113628,36.3858
127,0.0118952,19.4283,0.590411,0.541461,71.7063,4.24511,12.4742,0.0376688,13.6294
128,0.955955,56.7523,0.00537525,0.441262,10.7586,42.0055,0.025154,0.000321752,13.8681
129,0.00326995,11.5821,0.52938,1.24115,51.5195,91.8721,4.84987,0.004143,20.2002
130,0.446082,134.722,0.00310956,2.10422,0.818245,85.96,6.60799,0.00347242,28.8331
131,0.0111094,299.443,0.666777,0.119233,70.1696,9.68229,1.18866,0.0210413,47.6627
132,0.121098,1045.36,0.475693,1.24608,1.60081,70.3341,9.41761,0.0610011,141.077
133,0.268671,245.853,1.44072,0.0581287,182.655,35.9724,2.99176,0.292072,58.6915
134,0.384405,1196.04,0.00985862,0.424742,20.0012,14.446,4.3105,0.00854003,154.453
135,0.201921,96.1598,1.55078,0.0158445,19.6595,15.245,2.22635,0.366461,16.9282
136,0.178575,355.558,1.81248,0.140264,41.9037,46.6178,0.0777295,0.0135995,55.7878
137,0.0384458,249.562,0.188946,0.324783,26.505,52.9767,5.74703,0.0320085,41.9219
138,0.0213491,272.214,0.64588,0.264195,4.23089,6.14,0.0338709,0.0213217,35.4465
139,0.0502698,117.448,0.301571,0.819401,9.29598,348.874,0.0882407,0.158357,59.6295
140,0.0616759,20.9337,1.70347,0.362692,0.00734807,21.9186,4.74548,0.144001,6.23462
141,0.0273105,16.5187,0.126697,0.638966,3.30837,1526.23,12.8807,0.0441532,194.972
142,0.092117,95.562,0.730443,0.30163,0.129996,939.215,18.3481,0.116097,131.812
143,0.0566231,22.6716,0.0180857,0.127031,0.00189092,1735.56,97.464,0.0154797,231.989
144,0.00782398,298.437,0.181013,0.124274,1.38838,6736.77,128.607,0.0193858,895.691
145,0.00212829,36.1766,0.234352,0.0209951,0.0531353,121.43,25.5259,0.00403438,22.9309
146,0.0738541,474.492,0.23366,0.0622238,0.666315,1910.48,30.6792,0.0437258,302.091
147,0.230359,646.992,0.0803536,0.00228904,0.0219732,69.6714,303.452,0.0553998,127.563
148,0.143451,149.114,0.0117852,0.0301982,0.985599,706.307,87.304,0.00644586,117.988
149,0.149575,126.667,0.0247926,0.00119681,0.128412,11.8677,72.8593,0.141636,26.4799
150,0.769017,1.76692,0.0868541,0.0149312,0.464366,78.8657,5.39426,0.0291721,10.9239
151,0.0864462,26.5435,0.144964,0.0240025,0.0696977,44.5177,133.597,0.117228,25.6375
152,0.465546,85.077,0.0434169,0.000416228,1.34036,66.3452,8.02731,0.0894638,20.1736
153,0.301952,0.766913,0.0201278,0.0130655,0.294488,5.75913,37.1153,0.0130353,5.5355
154,0.863575,256.594,0.000572609,0.00980791,1.2619,228.756,10.6101,0.0459953,62.2676
155,1.74584,178.571,0.0096469,0.00445053,0.953363,4.78902,50.0476,0.15061,29.5339
156,6.59279,386.591,0.00473885,0.00407784,1.74294,82.5552,14.6106,0.136169,61.5296
157,3.58033,690.759,0.0724416,0.000479806,0.487109,3.88127,1.00686,0.163457,87.4939
158,1.28174,2423.6,0.163009,0.000743731,1.11617,4.84285,11.5099,0.116805,305.329
159,1.59978,121.156,0.67201,1.23754e-007,0.103289,36.8785,4.49239,8.63303e-006,20.6127
160,4.98313,125.368,0.00104531,0.000349605,0.0148694,32.5262,7.42163,0.0372008,21.2941
161,0.507503,0.63693,0.371467,1.56878e-005,0.000108521,34.7431,11.8324,0.0238587,6.01442
162,2.09483,9.01656,0.251666,6.8817e-005,0.00364986,2.77902,3.8759,0.0056698,2.25342
163,0.306796,701.263,0.0795343,5.1573e-007,0.0882823,9.77223,28.1048,0.0464731,92.4576
164,3.03338,111.257,0.121251,3.62079e-005,0.00509582,39.0592,7.51425,0.0913567,20.1352
165,2.59674,156.383,0.316902,1.43405e-005,0.0169218,8.74414,1.4301,0.000973392,21.1861
166,1.5553,15.7114,0.0909669,1.44064e-005,0.0760618,0.0166853,9.59188,0.026582,3.38362
167,5.31622,1338.65,0.105843,8.82821e-006,0.17752,0.0456523,5.98132,0.00190321,168.784
168,0.102243,5.02257,0.0269113,6.13604e-006,0.165686,0.0106124,1.82107,0.0218475,0.896369
169,3.65004,80.355,0.0913114,1.15722e-005,0.126137,0.128054,0.5233,0.000405399,10.6093
170,1.02649,33.0399,0.00472664,7.13945e-008,0.0972781,0.976209,0.130034,0.0181142,4.4116
171,1.29237,972.036,0.00147789,6.02921e-006,0.123756,0.524036,2.71666,0.00285953,122.087
172,1.01271,55.6101,0.00311724,2.1523e-007,0.00020273,0.0609883,1.51641,0.00354736,7.27588
173,0.00134964,42.6205,0.00331018,4.33069e-006,0.0293837,0.219278,0.869223,0.00321756,5.46828
174,0.884748,355.078,0.00572369,1.35732e-006,0.0728712,0.0142236,0.855176,0.00584726,44.6145
175,0.0281957,41.5854,1.76879e-005,3.77973e-007,0.00418424,0.177939,1.74364,0.00507202,5.44306
176,0.372639,158.274,0.000901876,4.99111e-008,0.0675069,0.000339403,9.95152,0.00122383,21.0835
177,0.123529,243.78,0.00780203,2.14918e-007,0.204685,0.0872698,6.48577,0.000114221,31.3361
178,0.0406563,42.9245,0.0123255,2.16441e-007,0.0105533,0.000930228,2.2599,2.53474e-007,5.65611
179,0.0619615,407.963,0.000858066,1.49511e-007,0.223172,0.0568253,3.80219,7.72251e-005,51.5135
180,0.0319555,3117.09,0.00095032,1.65971e-007,0.11976,0.0604075,0.002724,9.20882e-006,389.664
181,0.215516,2108.81,0.00193156,1.08294e-007,0.180168,0.00440557,6.33547,1.8752e-005,264.444
182,0.0418958,227.989,0.000284012,2.553e-007,0.00845661,0.000178533,1.17172,2.4125e-007,28.6514
183,0.0587148,301.457,0.00133562,1.8076e-007,0.0933325,0.0038526,7.92828,1.8299e-006,38.6928
184,0.139286,2955.81,0.00356971,2.07701e-007,0.00546542,0.0063559,2.47695,3.25039e-006,369.805
185,0.0531154,7897.58,0.00653948,5.0602e-008,0.0558853,0.000617931,0.972632,6.36972e-006,987.334
186,0.0247628,46.226,9.13623e-005,1.5906e-007,0.0847458,0.00639116,0.420454,2.08654e-005,5.8453
187,0.153882,392.072,0.00889161,9.80001e-008,0.0220134,0.0245709,1.52396,9.841e-006,49.2257
188,0.0869898,14375.4,0.0121969,3.81135e-007,0.0499514,0.0135012,0.706133,7.65067e-006,1797.03
189,0.00804965,18245.2,0.000592863,8.8515e-008,0.164124,0.0246038,0.353234,7.86323e-006,2280.71
190,0.0012775,1067.13,0.00562475,2.79552e-007,0.028008,0.00314336,0.273181,1.87012e-007,133.43
191,0.00575722,1889.18,0.00954,2.48793e-007,0.404059,0.0102658,0.46292,1.35739e-005,236.259
192,0.0156472,1836.08,0.0019874,6.89477e-007,0.337887,0.00764754,2.70729,2.77745e-006,229.893
193,0.00825367,5964.25,0.00476047,1.76696e-006,0.0639752,0.00396372,0.0197035,7.4283e-008,745.543
194,0.000178129,1629.17,0.00367604,7.63528e-008,0.024109,0.0255444,0.000589323,2.87299e-007,203.653
195,0.0033408,1273.95,0.00113181,8.93831e-007,0.00651727,0.00259821,0.0284887,6.57505e-008,159.25
196,0.000457737,73.8243,0.00556579,2.48577e-007,0.00240586,0.00155172,0.00381241,6.01869e-007,9.22976
197,0.00373594,500.714,1.37692e-005,5.23839e-008,0.0222574,0.0039978,0.0364612,3.18786e-006,62.5975
198,0.000314486,604.991,0.000203397,1.59298e-007,0.00333562,0.0116597,0.124516,1.8489e-006,75.6414
199,0.000425295,1093.79,0.0018887,1.44636e-007,0.0883127,0.00114992,0.00184079,6.67e-006,136.736
200,0.00100326,660.061,0.00331295,5.613e-008,0.0033034,0.00115391,0.0923571,2.36906e-006,82.5203
201,0.000985597,34.831,0.00304559,7.94574e-008,0.280749,0.000450992,0.0611944,2.50095e-005,4.39718
202,0.000455146,47.505,0.00209521,5.67494e-008,0.113711,0.0143817,0.0232695,3.29884e-007,5.95736
203,0.000448116,77.4597,0.000817248,5.65297e-008,0.442052,2.79788e-005,0.000191517,7.52041e-006,9.73791
204,0.000418624,44.4158,0.00123427,4.99234e-008,0.3438,0.000845606,0.0124771,5.95275e-008,5.59682
205,0.000964748,0.315064,0.00040128,5.33163e-008,0.518246,0.00132672,0.00624956,3.66746e-006,0.105282
206,0.00199507,284.498,0.000283062,5.0285e-008,0.0141745,7.86786e-005,0.000115464,4.94096e-006,35.5643
207,0.000122971,26.7619,1.62942e-005,5.0073e-008,0.435491,0.00154369,0.00283251,1.81406e-006,3.40023
208,0.000214035,5.19258,0.000285348,4.99404e-008,0.00551825,0.00117302,0.00546892,8.64052e-006,0.650656
209,9.15784e-005,37.9562,0.00456909,4.99919e-008,0.466656,0.0138277,0.0137828,1.41129e-005,4.80689
210,0.000441503,10.8745,0.00431758,4.99291e-008,0.210204,0.0123159,0.00241121,2.05821e-005,1.38803
211,9.8603e-005,2.47866,0.0196578,4.99154e-008,0.299102,0.0458179,0.0180952,9.02313e-006,0.35768
212,2.16845e-005,161.924,0.0014682,4.99241e-008,0.035774,0.0697292,0.00561582,9.18916e-006,20.2546
213,4.37263e-005,5.88917,0.0232571,4.99171e-008,0.0766817,0.0427157,0.0264598,4.08864e-007,0.757292
214,6.31826e-007,102.368,0.00930792,4.99211e-008,0.198268,0.00100906,0.000473166,5.90798e-006,12.8222
215,8.37046e-005,2.91909,0.00326154,4.99123e-008,0.00190644,0.0127914,0.0135629,3.10692e-006,0.368837
216,1.38222e-006,314.289,0.000386253,4.99171e-008,0.34149,0.00829936,0.00318139,1.2209e-007,39.3303
217,2.25044e-006,1.48678,0.00010442,4.9924e-008,0.0395348,0.0106062,0.00171993,5.84145e-007,0.192344
218,9.57529e-007,280.118,0.000631982,4.99267e-008,0.366422,0.00254712,0.0025964,1.39018e-006,35.0612
219,2.23102e-007,23.3253,2.00892e-005,4.99089e-008,0.0533046,0.000775655,0.00293191,1.7106e-006,2.92279
220,4.61831e-006,187.933,0.000101262,4.99213e-008,0.151154,0.0842724,0.00649277,2.72266e-006,23.5219
221,1.62543e-005,255.162,0.00138085,4.99089e-008,0.0937907,0.0406844,0.000375518,2.44174e-007,31.9123
222,1.73409e-005,107.456,0.000473768,4.99104e-008,0.38879,0.0106291,0.00311412,1.15503e-006,13.4824
223,7.33108e-006,80.2139,0.000410101,4.99169e-008,0.0230391,0.0309233,0.00587126,6.87485e-008,10.0343
224,5.3906e-006,58.6793,0.000788115,4.99202e-008,0.0079376,0.00059093,0.00342691,1.0996e-006,7.33651
225,2.7697e-005,221.394,0.00090283,4.99084e-008,0.0162437,0.0092343,0.000375909,1.48097e-006,27.6776
226,7.88736e-006,3.15918,0.000207723,4.99179e-008,0.0178311,0.00212561,0.000426255,5.43077e-008,0.397472
227,6.71319e-005,257.694,0.000893075,4.99108e-008,0.0247254,0.0010039,7.25818e-006,9.07261e-007,32.2151
228,3.24518e-005,4.33296,3.0722e-005,4.99108e-008,0.0383834,0.000809418,0.000297142,7.72429e-008,0.546565
229,4.58963e-005,22.4568,1.00656e-005,4.99089e-008,0.0313603,0.00111661,1.50068e-005,5.27812e-007,2.81117
230,1.99013e-006,8.75832,0.0010809,4.99117e-008,0.0192985,8.47797e-005,9.12452e-005,9.28652e-007,1.09736
231,1.21325e-005,8.53976,0.000958884,4.99101e-008,0.068424,0.00364337,5.28777e-006,2.6321e-006,1.0766
232,2.24492e-006,8.49889,0.00127761,4.99148e-008,0.190707,0.00660179,6.3059e-005,4.94833e-006,1.08719
233,5.29725e-006,0.988838,0.000510655,4.99108e-008,0.0705214,3.41946e-005,1.09586e-006,1.29557e-006,0.132489
234,2.80593e-005,2.3083,0.00132257,4.99107e-008,0.461312,0.0183518,1.66845e-005,1.36342e-006,0.348667
235,4.30467e-005,200.664,3.78856e-005,4.99093e-008,0.00283494,0.00654368,4.30566e-007,4.31766e-006,25.0842
236,0.000143163,46.5514,0.00116608,4.99104e-008,0.11499,0.0520388,1.12862e-006,1.23102e-006,5.83996
237,2.94264e-005,88.8739,0.000934339,4.99097e-008,0.139098,6.08908e-005,6.15685e-006,3.35685e-006,11.1268
238,0.000174718,0.321749,0.00199431,4.9918e-008,0.435093,0.00252616,1.31217e-008,1.82393e-008,0.0951922
239,6.34881e-005,184.505,0.00331826,9.15207e-006,0.478448,0.00207059,3.63399e-006,1.93845e-005,23.1236
240,5.61817e-005,3.44873,0.00130501,1.41288e-005,0.0332198,0.00443615,1.01451e-006,9.85158e-007,0.435971
241,1.23412e-005,35.9284,0.000418501,8.06136e-006,0.133936,0.00110713,4.40055e-006,9.82925e-006,4.50798
242,7.08605e-007,11.6632,0.00197757,2.19049e-008,0.183284,0.000560599,4.6424e-006,3.12295e-005,1.48113
243,1.30573e-005,115.059,2.60385e-005,2.67652e-006,0.0258993,0.000516935,1.32012e-006,1.05569e-006,14.3857
244,3.74972e-008,27.9114,0.000487639,9.94068e-009,0.824205,0.000714741,3.65038e-006,5.927e-005,3.59211
245,4.52154e-006,56.554,0.000432462,1.72633e-006,1.33276,0.000270233,2.06267e-009,2.98018e-005,7.23593
246,1.74888e-005,75.7914,0.000209569,1.39307e-006,0.965799,0.00257873,1.99084e-006,0.000141644,9.59502
247,1.67317e-005,154.222,0.000382877,1.03961e-007,0.0519377,0.00241916,1.2392e-006,1.68549e-005,19.2846
248,1.89032e-005,0.371157,0.000732445,3.28572e-007,0.33993,0.00470355,2.28923e-006,6.18189e-005,0.0895758
249,5.78922e-008,157.28,0.00184297,2.76006e-009,0.00103355,0.0026244,6.29674e-007,4.88432e-005,19.6607
250,5.91279e-005,13.9134,0.000405341,9.64332e-008,0.684641,0.0202701,2.14571e-006,1.6722e-007,1.82734
251,2.44497e-006,16.1352,0.00358918,4.03878e-008,0.0639325,0.0445646,7.35265e-007,3.93548e-005,2.03092
252,1.36222e-005,17.2996,0.00194322,1.43412e-008,0.221971,0.0231554,6.64683e-007,5.30685e-006,2.19333
253,2.80671e-006,98.519,0.0136541,3.5521e-008,0.0141192,0.00856864,5.06076e-008,3.5459e-005,12.3194
254,1.02094e-005,91.7123,0.00155533,1.93055e-011,0.500466,0.000298313,8.15364e-008,2.00393e-005,11.5268
255,3.27742e-006,0.135383,0.00459005,1.83432e-008,0.170891,0.0162593,2.92202e-007,7.3154e-005,0.0409001
256,4.97083e-005,122.373,0.0013643,6.79445e-008,0.00952908,0.0376864,1.98389e-007,2.93971e-005,15.3027
257,3.71299e-008,225.143,0.0138361,7.61276e-008,0.327386,0.053838,3.72555e-007,8.98212e-005,28.1923
258,2.78991e-006,0.0940984,0.000117295,3.19111e-008,0.357747,7.25824e-005,3.77445e-007,7.72744e-007,0.0565049
259,8.42141e-006,127.335,0.0129454,3.48363e-008,0.368269,0.0482555,6.21869e-009,7.08091e-006,15.9706
260,3.00994e-008,206.296,0.00139726,9.64161e-008,0.24406,0.00974851,2.65709e-007,1.41766e-005,25.8189
261,2.02031e-008,344.628,0.0140162,5.45982e-008,0.00835467,0.0235139,6.15427e-007,4.82082e-007,43.0843
262,7.73474e-007,1598.57,0.00505827,4.50723e-009,0.0279022,0.0089765,3.1082e-006,4.01948e-007,199.826
263,3.31244e-007,421.183,0.0829197,6.3824e-009,0.00248346,0.00357087,4.05428e-006,2.99237e-007,52.6591
264,2.80724e-007,515.979,0.0338144,5.29322e-011,0.0476893,0.00147905,6.05352e-008,5.50244e-006,64.5077
265,1.19358e-007,104.797,0.0550859,2.86211e-009,0.00119695,0.000112879,1.59023e-006,1.49865e-007,13.1067
266,4.51717e-007,50.232,0.106733,2.16344e-009,0.0138351,0.0236718,4.12267e-008,9.16686e-007,6.29703
267,8.52695e-008,103.804,0.255322,1.35223e-008,0.0318258,0.000757312,1.05987e-006,2.95746e-006,13.0115
268,1.06278e-007,397.096,0.0193847,3.50006e-009,0.00193438,0.0511508,3.14257e-006,3.10005e-007,49.6461
269,2.23565e-006,0.195349,0.213577,9.92633e-009,0.0012202,0.0168509,4.00216e-006,1.52246e-006,0.0533756
270,3.72351e-009,208.313,0.0643611,6.26458e-011,0.0119266,0.0259894,4.30171e-006,1.0937e-007,26.0519
271,1.65908e-007,0.510159,0.0227557,5.14314e-009,0.196556,0.0559524,7.64704e-006,1.43331e-006,0.098179
272,7.64027e-009,84.9604,0.0647785,1.38727e-011,0.0317228,0.00180382,2.06006e-005,1.39282e-007,10.6323
273,8.78569e-007,3.26406,0.16472,2.73903e-009,0.0980108,0.0112025,8.67765e-006,6.51892e-006,0.442251
